Signals	selALUOp	A	B	ALUOut	branch	Delay	TestNo	Note
Mode	in	in	in	out	out	None	None	None
Radix	4'b	32'h	32'h	32'h	1'b	None	None	None
=	=	=	=	=	=	=	=	=
	0000	5a5a5a5a	15a5a5a6	70000000	0	1	1	sgnA + sgnB
	0000	15a5a5a6	5a5a5a5a	70000000	0	1	2	sgnA + sgnB
	0000	ffffffff	40000000	3fffffff	0	1	3	
	0001	ffffffff	fffffffe	00000001	0	1	4	sgnA - sgnB
	0010	f0c3a596	1f7e8ab4	10428094	0	1	5	A and B
	0011	f0c3a596	1f7e8ab4	ffffafb6	0	1	6	A or B
	0100	f0c3a596	1f7e8ab4	efbd2f22	0	1	7	A xor B
	0101	f0c3a596	00000008	c3a59600	0	1	8	A << B(4:0) shift left logical
	0110	f0c3a596	00000008	00f0c3a5	0	1	9	A >> B(4:0) shift right logical
	0111	f0c3a596	00000008	fff0c3a5	0	1	10	A >>> B(4:0) shift right arithmetic
	1000	f0c3a596	1f7e8ab4	00000001	0	1	11	1 if sgn A < sgn B
	1001	f0c3a596	1f7e8ab4	00000000	0	1	12	1 if uns A < uns B
	1010	f0c3a596	1f7e8ab4	00000001	0	1	13	branch = 1 if A = B
	1010	f0c3a596	f0c3a596	00000002	1	1	14	branch = 1 if A = B
	1011	f0c3a596	1f7e8ab4	00000003	1	1	15	branch = 1 if A != B
	1011	f0c3a596	f0c3a596	00000004	0	1	16	
	1100	f0c3a596	1f7e8ab4	00000005	1	1	17	branch = 1 if sgn A < sgnB
	1100	f0c3a596	f0c3a596	00000006	0	1	18	
	1101	f0c3a596	1f7e8ab4	00000007	0	1	19	branch = 1 if sgn A >= sgnB
	1101	f0c3a596	f0c3a596	00000008	1	1	20	
	1110	f0c3a596	1f7e8ab4	00000009	0	1	21	branch = 1 if uns A < uns B
	1110	f0c3a593	f0c3a596	00000010	1	1	22	
	1111	f0c3a596	1f7e8ab4	00000011	1	1	23	branch = 1 if uns A >= uns B
	1111	f0c3a596	f0c3a596	00000012	1	1	24	
# Example of a comment - comments are ignored by the testplan generator								
# HDLGen-ChatGPT Test Specification								
# Title: RV32I RISC-V Arithmetic Logic Unit (ALU)								
# Created by: Fearghal Morgan								
# Date: 22/02/2024								
# Component type: Register-Transfer Logic
